ASV,ITSclade,ITStype
asv2746,D,D1
asv2966,D,D1
asv3240,D,D1
asv3664,D,D1
asv3707,D,D1
asv3747,D,D1
asv4045,D,D1
asv7165,D,D1
asv7510,D,D1
asv8101,D,D1
asv8324,D,D1
asv8544,D,D1
asv8783,D,D1
asv9636,D,D1
asv9954,D,D1
asv10455,D,D1
asv10467,D,D1
asv10476,D,D1
asv10500,D,D1
asv10509,D,D1
asv10510,D,D1
asv10513,D,D1
asv10525,D,D1
asv10528,D,D1
asv10529,D,D1
asv10535,D,D1
asv10537,D,D1
asv10460,D,D1
asv3182,D,D1
asv10498,D,D1
asv10561,D,D1
asv2358,D,D1
asv4440,D,D1
asv10524,D,D1
asv10494,D,D1
asv10589,D,D1
asv27,D,D1
asv715,D,D1
asv1541,D,D1
asv1566,D,D1
asv1298,D,D1
asv77,D,D1
asv91,D,D1
asv112,D,D1
asv228,D,D1
asv323,D,D1
asv421,D,D1
asv475,D,D1
asv528,D,D1
asv691,D,D1
asv928,D,D1
asv1170,D,D1
asv1242,D,D1
asv1294,D,D1
asv1468,D,D1
asv1654,D,D1
asv2202,D,D1
asv2371,D,D1
asv3567,D,D1
asv5849,D,D1
asv9195,D,D1
asv9420,D,D1
asv10515,D,D1
asv10521,D,D1
asv144,D,D1
asv110,D,D1
asv8321,D,D1
asv8782,D,D1
asv9411,D,D1
asv9961,D,D1
asv10461,D,D1
asv10488,D,D1
asv1878,D,D1
asv3073,D,D1
asv1589,D,D1
asv3499,D,D1
asv7166,D,D1
asv9424,D,D1
asv9958,D,D1
asv10489,D,D1
asv81,D,D1
asv1362,D,D1
asv4259,D,D1
asv9960,D,D1
asv10517,D,D1
asv107,D,D1
asv4315,D,D1
asv9975,D,D1
asv10451,D,D1
asv10547,D,D1
asv2099,D,D1
asv3822,D,D1
asv61,D,D1
asv8550,D,D1
asv9957,D,D1
asv10522,D,D1
asv10536,D,D1
asv55,D,D1
asv90,D,D1
asv162,D,D1
asv229,D,D1
asv529,D,D1
asv742,D,D1
asv1116,D,D1
asv1545,D,D1
asv1860,D,D1
asv2241,D,D1
asv3011,D,D1
asv4778,D,D1
asv9639,D,D1
asv10482,D,D1
asv10499,D,D1
asv10512,D,D1
asv10523,D,D1
asv10526,D,D1
asv10565,D,D1
asv76,D,D1
asv268,D,D1
asv273,D,D1
asv2074,D,D1
asv2370,D,D1
asv2421,D,D1
asv2851,D,D1
asv9959,D,D1
asv10495,D,D1
asv10508,D,D1
asv10514,D,D1
asv205,D,D2
asv754,D,D2
asv1623,D,D2
asv5047,D,D2
asv8773,D,D2
asv9947,D,D2
asv10463,D,D2
asv10501,D,D2
asv10519,D,D2
asv49,D,D2
asv727,D,D2
asv1735,D,D2
asv3904,D,D2
asv4314,D,D2
asv7703,D,D2
asv8317,D,D2
asv8542,D,D2
asv9945,D,D2
asv282,D,D2
asv335,D,D2
asv2068,D,D2
asv2762,D,D2
asv301,D,D2
asv16,D,D2
asv490,D,D2
asv841,D,D2
asv1444,D,D2
asv2388,D,D2
asv2869,D,D2
asv3537,D,D2
asv10516,D,D2
asv10520,D,D2
asv23,D,D4
asv425,D,D4
asv491,D,D4
asv508,D,D4
asv509,D,D4
asv1364,D,D4
asv1397,D,D4
asv1432,D,D4
asv1586,D,D4
asv1842,D,D4
asv2173,D,D4
asv5046,D,D4
asv5418,D,D4
asv9404,D,D4
asv9962,D,D4
asv1888,D,D4
asv654,D,D4
asv849,D,D4
asv9637,D,D4
asv9660,D,D4
asv10511,D,D4
asv14,D,D6
asv175,D,D6
asv222,D,D6
asv322,D,D6
asv430,D,D6
asv516,D,D6
asv980,D,D6
asv1518,D,D6
asv1747,D,D6
asv1797,D,D6
asv2344,D,D6
asv2576,D,D6
asv6850,D,D6
asv9630,D,D6
asv9941,D,D6
asv9944,D,D6
asv9984,D,D6
asv5750,F,F3
asv7898,F,F5
asv2303,G,G3
asv4924,G,G3
asv9667,G,G3
asv6047,G,G3
asv384,G,G3
asv450,G,G3
asv461,G,G3
asv730,G,G3
asv866,G,G3
asv1262,G,G3
asv4047,G,G3
